"years","salary"
1,41504
1,32619
1,44322
2,40038
2,46147
2,38447
2,38163
3,42104
3,25597
3,39599
3,55698
4,47220
4,65929
4,55794
4,45959
5,52460
5,60308
5,61458
5,56951
6,56174
6,59363
6,57642
6,69792
7,59321
7,66379
7,64282
7,48901
8,100711
8,59324
8,54752
8,73619
9,65382
9,58823
9,65717
9,92816
9,72550
10,71365
10,88888
10,62969
10,45298
11,111292
11,91491
11,106345
11,99009
12,73981
12,72547
12,74991
12,139249
13,119948
13,128962
13,98112
13,97159
14,125246
14,89694
14,73333
14,108710
15,97567
15,90359
15,119806
15,101343
16,147406
16,153020
16,143200
16,97327
17,184807
17,146263
17,127925
17,159785
17,174822
18,177610
18,210984
18,160044
18,137044
19,182996
19,184183
19,168666
19,121350
20,193627
20,142611
20,170131
20,134140
21,129446
21,201469
21,202104
21,220556
22,166419
22,149044
22,247017
22,247730
23,252917
23,235517
23,241276
23,197229
24,175879
24,253682
24,262578
24,207715
25,221179
25,212028
25,312549
