"","mpg","cyl","disp","hp","wt","acc","year"
"8 cylinder 70 chevrolet chevelle malibu",18,8,307,130,3504,12,70
"8 cylinder 70 buick skylark 320",15,8,350,165,3693,11.5,70
"8 cylinder 70 plymouth satellite",18,8,318,150,3436,11,70
"8 cylinder 70 amc rebel sst",16,8,304,150,3433,12,70
"8 cylinder 70 ford torino",17,8,302,140,3449,10.5,70
"8 cylinder 70 ford galaxie 500",15,8,429,198,4341,10,70
"8 cylinder 70 chevrolet impala",14,8,454,220,4354,9,70
"8 cylinder 70 plymouth fury iii",14,8,440,215,4312,8.5,70
"8 cylinder 70 pontiac catalina",14,8,455,225,4425,10,70
"8 cylinder 70 amc ambassador dpl",15,8,390,190,3850,8.5,70
"8 cylinder 70 dodge challenger se",15,8,383,170,3563,10,70
"8 cylinder 70 plymouth 'cuda 340",14,8,340,160,3609,8,70
"8 cylinder 70 chevrolet monte carlo",15,8,400,150,3761,9.5,70
"8 cylinder 70 buick estate wagon (sw)",14,8,455,225,3086,10,70
"4 cylinder 70 toyota corona mark ii",24,4,113,95,2372,15,70
"6 cylinder 70 plymouth duster",22,6,198,95,2833,15.5,70
"6 cylinder 70 amc hornet",18,6,199,97,2774,15.5,70
"6 cylinder 70 ford maverick",21,6,200,85,2587,16,70
"4 cylinder 70 datsun pl510",27,4,97,88,2130,14.5,70
"4 cylinder 70 volkswagen 1131 deluxe sedan",26,4,97,46,1835,20.5,70
"4 cylinder 70 peugeot 504",25,4,110,87,2672,17.5,70
"4 cylinder 70 audi 100 ls",24,4,107,90,2430,14.5,70
"4 cylinder 70 saab 99e",25,4,104,95,2375,17.5,70
"4 cylinder 70 bmw 2002",26,4,121,113,2234,12.5,70
"6 cylinder 70 amc gremlin",21,6,199,90,2648,15,70
"8 cylinder 70 ford f250",10,8,360,215,4615,14,70
"8 cylinder 70 chevy c20",10,8,307,200,4376,15,70
"8 cylinder 70 dodge d200",11,8,318,210,4382,13.5,70
"8 cylinder 70 hi 1200d",9,8,304,193,4732,18.5,70
"4 cylinder 71 datsun pl510",27,4,97,88,2130,14.5,71
"4 cylinder 71 chevrolet vega 2300",28,4,140,90,2264,15.5,71
"4 cylinder 71 toyota corona",25,4,113,95,2228,14,71
"6 cylinder 71 amc gremlin",19,6,232,100,2634,13,71
"6 cylinder 71 plymouth satellite custom",16,6,225,105,3439,15.5,71
"6 cylinder 71 chevrolet chevelle malibu",17,6,250,100,3329,15.5,71
"6 cylinder 71 ford torino 500",19,6,250,88,3302,15.5,71
"6 cylinder 71 amc matador",18,6,232,100,3288,15.5,71
"8 cylinder 71 chevrolet impala",14,8,350,165,4209,12,71
"8 cylinder 71 pontiac catalina brougham",14,8,400,175,4464,11.5,71
"8 cylinder 71 ford galaxie 500",14,8,351,153,4154,13.5,71
"8 cylinder 71 plymouth fury iii",14,8,318,150,4096,13,71
"8 cylinder 71 dodge monaco (sw)",12,8,383,180,4955,11.5,71
"8 cylinder 71 ford country squire (sw)",13,8,400,170,4746,12,71
"8 cylinder 71 pontiac safari (sw)",13,8,400,175,5140,12,71
"6 cylinder 71 amc hornet sportabout (sw)",18,6,258,110,2962,13.5,71
"4 cylinder 71 chevrolet vega (sw)",22,4,140,72,2408,19,71
"6 cylinder 71 pontiac firebird",19,6,250,100,3282,15,71
"6 cylinder 71 ford mustang",18,6,250,88,3139,14.5,71
"4 cylinder 71 mercury capri 2000",23,4,122,86,2220,14,71
"4 cylinder 71 opel 1900",28,4,116,90,2123,14,71
"4 cylinder 71 peugeot 304",30,4,79,70,2074,19.5,71
"4 cylinder 71 fiat 124b",30,4,88,76,2065,14.5,71
"4 cylinder 71 toyota corolla 1200",31,4,71,65,1773,19,71
"4 cylinder 71 datsun 1200",35,4,72,69,1613,18,71
"4 cylinder 71 volkswagen model 111",27,4,97,60,1834,19,71
"4 cylinder 71 plymouth cricket",26,4,91,70,1955,20.5,71
"4 cylinder 72 toyota corona hardtop",24,4,113,95,2278,15.5,72
"4 cylinder 72 dodge colt hardtop",25,4,97.5,80,2126,17,72
"4 cylinder 72 volkswagen type 3",23,4,97,54,2254,23.5,72
"4 cylinder 72 chevrolet vega",20,4,140,90,2408,19.5,72
"4 cylinder 72 ford pinto runabout",21,4,122,86,2226,16.5,72
"8 cylinder 72 chevrolet impala",13,8,350,165,4274,12,72
"8 cylinder 72 pontiac catalina",14,8,400,175,4385,12,72
"8 cylinder 72 plymouth fury iii",15,8,318,150,4135,13.5,72
"8 cylinder 72 ford galaxie 500",14,8,351,153,4129,13,72
"8 cylinder 72 amc ambassador sst",17,8,304,150,3672,11.5,72
"8 cylinder 72 mercury marquis",11,8,429,208,4633,11,72
"8 cylinder 72 buick lesabre custom",13,8,350,155,4502,13.5,72
"8 cylinder 72 oldsmobile delta 88 royale",12,8,350,160,4456,13.5,72
"8 cylinder 72 chrysler newport royal",13,8,400,190,4422,12.5,72
"3 cylinder 72 mazda rx2 coupe",19,3,70,97,2330,13.5,72
"8 cylinder 72 amc matador (sw)",15,8,304,150,3892,12.5,72
"8 cylinder 72 chevrolet chevelle concours (sw)",13,8,307,130,4098,14,72
